first_name,second_name,phone_number
Сильвестр,Сталлоне,+98 345 321 88 99
first_name,second_name,phone_number
Николай,Нудин,5 666 888 77 55
first_name,second_name,phone_number
Николай,Нудин,5 666 888 77 55
first_name,second_name,phone_number
Arnold,Schwarzenegger,+62 813 3899 8834
first_name,second_name,phone_number
Arnold,Schwarzenegger,+62 813 3899 8834
first_name,second_name,phone_number
Николай,Нудин,5 666 888 77 55
first_name,second_name,phone_number
Петр,Петров,37774448822
first_name,second_name,phone_number
Ян,Налимов,45 879 565 12 00
first_name,second_name,phone_number
Arnold,Schwarzenegger,+62 813 3899 8834
first_name,second_name,phone_number
Сергей,Заушкин,6 777 888 66 77
first_name,second_name,phone_number
Ян,Налимов,45 879 565 12 00
first_name,second_name,phone_number
Петр,Петров,37774448822
